amino acid,Canonical_SMILES,PubChem CID,dicarbonyl compounds ,Canonical_SMILES,PubChem CID,AGEs,Canonical_SMILES,PubChem CID
lysine ,C(CCN)CC(C(=O)O)N,5962, 3-deoxyglucosulose ,C(C(C(CO)O)O)C(=O)C=O,114839,N¦Å-(carboxylmethyl)-L-lysine (CML),C(CCN)CC(C(=O)O)NCC(=O)O,123880
lysine ,C(CCN)CC(C(=O)O)N,5962, 3-deoxyglucosulose ,C(C(C(CO)O)O)C(=O)C=O,114839,N¦Å-(carboxylethyl)-L-lysine,CC(C(=O)O)NCCCCC(C(=O)O)N,23400779
lysine ,C(CCN)CC(C(=O)O)N,5962, 3-deoxyglucosulose ,C(C(C(CO)O)O)C(=O)C=O,114839,¦Á-amino adipic-¦Ä-semialdehyde (allysine),C(CC=O)CC(C(=O)O)N,207
lysine ,C(CCN)CC(C(=O)O)N,5962, 3-deoxyglucosulose ,C(C(C(CO)O)O)C(=O)C=O,114839,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
lysine ,C(CCN)CC(C(=O)O)N,5962,methylglyoxal,CC(=O)C=O,880,methylglyoxal lysine dimer (MOLD) ,CC1=C[N+](=CN1CCCCC(C(=O)O)N)CCCCC(C(=O)O)N,46878528
lysine ,C(CCN)CC(C(=O)O)N,5962,methylglyoxal,CC(=O)C=O,880,N¦Å-(carboxylmethyl)-L-lysine (CML),C(CCN)CC(C(=O)O)NCC(=O)O,123880
lysine ,C(CCN)CC(C(=O)O)N,5962,methylglyoxal,CC(=O)C=O,880,N¦Å-(carboxylethyl)-L-lysine,CC(C(=O)O)NCCCCC(C(=O)O)N,23400779
lysine ,C(CCN)CC(C(=O)O)N,5962,methylglyoxal,CC(=O)C=O,880,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
lysine ,C(CCN)CC(C(=O)O)N,5962,methylglyoxal,CC(=O)C=O,880,glycolloyllysine,C(CC(C(=O)CO)N)CC(C(=O)O)N,"	129821570"
lysine ,C(CCN)CC(C(=O)O)N,5962,methylglyoxal,CC(=O)C=O,880,methylglyoxal lysine dimer (MOLD) ,CC1=C[N+](=CN1CCCCC(C(=O)O)N)CCCCC(C(=O)O)N,46878528
lysine ,C(CCN)CC(C(=O)O)N,5962,methylglyoxal,CC(=O)C=O,880,N¦Å-(carboxylmethyl)-L-lysine (CML),C(CCN)CC(C(=O)O)NCC(=O)O,123880
lysine ,C(CCN)CC(C(=O)O)N,5962,methylglyoxal,CC(=O)C=O,880,N¦Å-(carboxylethyl)-L-lysine,CC(C(=O)O)NCCCCC(C(=O)O)N,23400779
lysine ,C(CCN)CC(C(=O)O)N,5962,methylglyoxal,CC(=O)C=O,880,pyrraline,C1=C(N(C(=C1)C=O)CCCCC(C(=O)O)N)CO,122228
lysine ,C(CCN)CC(C(=O)O)N,5962,methylglyoxal,CC(=O)C=O,880,glycolloyllysine,C(CC(C(=O)CO)N)CC(C(=O)O)N,"	129821570"
lysine ,C(CCN)CC(C(=O)O)N,5962,glyoxal,C(=O)C=O,7860,methylglyoxal lysine dimer (MOLD) ,CC1=C[N+](=CN1CCCCC(C(=O)O)N)CCCCC(C(=O)O)N,46878528
arginine,C(CC(C(=O)O)N)CN=C(N)N,6322,methylglyoxal,CC(=O)C=O,880,Tetrahydropyrimidine(THP),C1C=CNCN1,5231957
arginine,C(CC(C(=O)O)N)CN=C(N)N,6322,methylglyoxal,CC(=O)C=O,880,argpyrimidine (AP),CC1=C(C(=NC(=N1)NCCCC(C(=O)O)N)C)O,"	17750123"
arginine,C(CC(C(=O)O)N)CN=C(N)N,6322,methylglyoxal,CC(=O)C=O,880,methylglyoxal imidazolinone (MG-H1),C1C(=O)NC=N1,504
arginine,C(CC(C(=O)O)N)CN=C(N)N,6322,glyoxal,C(=O)C=O,7860,hydroimidazoione,CC1C(=O)NC(=NCCCC(C(=O)O)N)N1,135879921
arginine,C(CC(C(=O)O)N)CN=C(N)N,6322,glycolaldehyde,C(C=O)O,756,hydroimidazoione,CC1C(=O)NC(=NCCCC(C(=O)O)N)N1,135879921
arginine,C(CC(C(=O)O)N)CN=C(N)N,6322,glucose ,C(C1C(C(C(C(O1)O)O)O)O)O,5793,pentosidine,C1=CN(C2=NC(=NC2=C1)NCCCC(C(=O)O)N)CCCCC(C(=O)O)N,119593
¦Â-lactoglobulin (bLG£©,CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCSC)NC(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(C)N,9988076,methylglyoxal,CC(=O)C=O,880,N¦Å-(carboxylmethyl)-L-lysine (CML),C(CCN)CC(C(=O)O)NCC(=O)O,123880
¦Â-lactoglobulin (bLG£©,CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCSC)NC(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(C)N,9988076,methylglyoxal,CC(=O)C=O,880,N¦Ä-(5-hydro-5-methyl-4-imidazolon-2-yl)-L-ornithine (MG-H1),CC1C(=O)NC(=NCCCC(C(=O)O)N)N1,135879921
deoxyribonucleic acid,[NH2-].[NH2-].Cl[Pt]Cl,6712951,methylglyoxal,CC(=O)C=O,880, N2(1-carboxyethyl)-2'-deoxyguanosine,CC(C(=O)O)NC1=NC2=C(C(=O)N1)N=CN2C3CC(C(O3)CO)O,135970739
